date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,elev_m,home_elev_m,away_elev_m,delta_elev,home_capacity,away_capacity,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_delta,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-11-03,2021,Philadelphia 76ers,Chicago Bulls,103,98,5,,,,,,,,,,,2.0,2.0,False,False,0.0,1543.8244897082047,1552.990620002702,-9.16613029449718,0.4868119377282941,1.15,3.85
2021-11-03,2021,San Antonio Spurs,Dallas Mavericks,108,109,-1,,,,,,,,,,,2.0,1.0,False,True,1.0,1484.6065721910047,1482.5121555762212,2.0944166147835404,0.5030140712875827,1.62,-2.62
2021-11-03,2021,Golden State Warriors,Charlotte Hornets,114,92,22,,,,,,,,,,,4.0,2.0,False,False,2.0,1563.0255840498578,1517.107976153407,45.91760789645082,0.5656986821071098,3.41,18.59
2021-11-03,2021,Sacramento Kings,New Orleans Pelicans,112,99,13,,,,,,,,,,,1.0,1.0,True,True,0.0,1483.8022963658614,1447.611267555257,36.191028810604394,0.5518955138443048,3.02,9.98
2021-11-04,2021,Detroit Pistons,Philadelphia 76ers,98,109,-11,Little Caesars Arena,42.3412,-83.0549,20332.0,184.0,184.0,,,20332.0,,2.0,1.0,False,True,1.0,1430.5387935816557,1550.9949039645385,-120.4561103828828,0.3332769068863105,-3.41,-7.59
2021-11-04,2021,Atlanta Hawks,Utah Jazz,98,116,-18,,,,,,,,,,,1.0,2.0,True,False,-1.0,1496.3509463155378,1561.475929104118,-65.12498278858016,0.40736006766278593,-1.14,-16.86
2021-11-04,2021,Miami Heat,Boston Celtics,78,95,-17,,,,,,,,,,,2.0,1.0,False,True,1.0,1580.9031270391047,1481.1051205377246,99.79800650138009,0.639797075607301,5.63,-22.63
2021-11-04,2021,Los Angeles Lakers,Oklahoma City Thunder,104,107,-3,,,,,,,,,,,2.0,3.0,False,False,-1.0,1511.1825256318991,1384.136305278088,127.04622035381112,0.6750985627504822,6.74,-9.74
2021-11-04,2021,Phoenix Suns,Houston Rockets,123,111,12,,,,,,,,,,,2.0,2.0,False,False,0.0,1494.02939403234,1454.7036296612287,39.32576437111129,0.5563538671731725,3.14,8.86
2021-11-05,2021,Milwaukee Bucks,New York Knicks,98,113,-15,,,,,,,,,,,3.0,2.0,False,False,1.0,1501.9936526647045,1513.8903866728594,-11.896734008154908,0.4828859116528142,1.04,-16.04
